radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,311,480,7,645,-1,-122.387418,37.604584,1000,3,1,1505446569,1561079384,0
LTE,311,480,7,898,-1,-122.429082,37.637253,1562,3,1,1505475636,1561168989,0
LTE,311,480,7,873,-1,-122.471683,37.678223,1484,3,1,1505480632,1561169734,0
LTE,311,480,7,901,-1,-122.408352,37.617256,1948,3,1,1505484468,1561079794,0
LTE,311,480,7,583,-1,-122.421616,37.778459,1000,8,1,1505487035,1561351286,0
LTE,311,480,7,854,-1,-122.468996,37.770241,1314,3,1,1505490886,1561088031,0
LTE,311,480,7,321,-1,-122.422708,37.776385,1000,7,1,1505490894,1561085927,0
LTE,311,480,7,286,-1,-122.399342,37.774592,1000,4,1,1505490898,1561750018,0
LTE,311,480,7,779,-1,-122.402855,37.796146,1000,3,1,1505500588,1561190884,0
LTE,311,480,7,892,-1,-122.46445,37.663881,1322,3,1,1505500625,1561193434,0
LTE,311,480,7,294,-1,-122.405647,37.785234,1000,3,1,1505505209,1561091257,0
LTE,311,480,7,840,-1,-122.443325,37.793143,2030,3,1,1505505414,1561088405,0
LTE,311,480,7,805,-1,-122.417059,37.784526,1000,3,1,1505505467,1561090389,0
LTE,311,480,7,782,-1,-122.410307,37.795194,1000,4,1,1505505467,1561089142,0
LTE,311,480,7,347,0,-122.440284,37.664145,8884,6,1,1494302785,1561170648,0
LTE,311,480,9728,86612768,0,-122.411097,37.785915,4826,59,1,1505331738,1505417648,0
LTE,311,480,9728,86683672,0,-122.410593,37.788678,1000,16,1,1505313563,1505316888,0
LTE,311,480,9728,86683670,0,-122.410566,37.788599,1000,42,1,1505309511,1505427715,0
LTE,311,480,9728,9812750,0,-122.398188,37.777104,2719,36,1,1505328061,1505421102,0
LTE,311,480,9728,86612748,0,-122.39927,37.779376,2993,83,1,1505325555,1505431197,0
LTE,311,480,9728,9813538,0,-122.401995,37.783797,1000,22,1,1505322945,1505429298,0
LTE,311,480,9728,86613004,0,-122.401642,37.783951,5332,55,1,1505322103,1505423828,0
LTE,311,480,9728,9812760,0,-122.404099,37.784722,5386,26,1,1505328135,1505415774,0
LTE,311,480,9728,9813518,0,-122.403236,37.78164,5039,18,1,1505327801,1505338967,0
LTE,311,480,9728,9813026,0,-122.407101,37.775798,4306,10,1,1505327017,1505431009,0
LTE,311,480,9728,9882696,0,-122.404936,37.78827,1000,5,1,1505320952,1563679035,0
LTE,311,480,9728,86613516,0,-122.401357,37.784295,1589,61,1,1505323231,1505425108,0
LTE,311,480,9728,9736240,0,-122.402322,37.78387,1000,5,1,1505264845,1505408025,0
LTE,311,480,9728,9813774,0,-122.401575,37.783442,1000,14,1,1505325476,1505415920,0
LTE,311,480,9728,86613772,0,-122.40154,37.783523,1000,25,1,1505256114,1505432470,0
LTE,311,480,9728,86536236,0,-122.401087,37.782388,1455,9,1,1505265790,1505399253,0
LTE,311,480,9728,86614028,0,-122.403466,37.783788,1000,24,1,1505261797,1505420336,0
LTE,311,480,9728,86613280,0,-122.401223,37.784217,1000,89,1,1505323926,1505423744,0
LTE,311,480,9728,9813528,0,-122.402084,37.784018,1000,8,1,1505324196,1505421697,0
LTE,311,480,9728,86613526,0,-122.402141,37.784036,1000,23,1,1505324180,1505423614,0
LTE,311,480,9728,9813282,0,-122.401205,37.784081,1000,59,1,1505323864,1505421523,0
LTE,311,480,9728,9813272,0,-122.407226,37.780026,7366,41,1,1505320022,1505346235,0
LTE,311,480,9729,9902358,0,-122.396572,37.786127,500,205,1,1505294850,1506529342,0
LTE,311,480,9729,9902360,0,-122.395933,37.786002,1000,20,1,1505298447,1505629833,0
LTE,311,480,9728,9812770,0,-122.404088,37.787472,5466,49,1,1505321017,1505433401,0
LTE,311,480,9728,9902358,0,-122.398048,37.78583,1000,5,1,1505293040,1505314921,0
LTE,311,480,9728,86683732,0,-122.405754,37.785016,1000,5,1,1505324862,1505338932,0
LTE,311,480,9729,9902348,0,-122.397334,37.786855,1000,10,1,1505294497,1505417128,0
LTE,311,480,9728,86612758,0,-122.400724,37.784865,3608,108,1,1505324748,1505437444,0
LTE,311,480,9728,86689362,0,-122.406203,37.785093,1000,6,1,1505278750,1505278874,0
LTE,311,480,9728,163499266,0,-122.403648,37.789753,1000,4,1,1505320544,1505321152,0
LTE,311,480,9728,9812737,0,-122.408419,37.76666,2995,5,1,1505334476,1505411270,0
LTE,311,480,7683,9744416,0,-122.379277,37.625404,6578,5,1,1505244217,1505244320,0
LTE,311,480,9730,163490830,0,-122.425515,37.766801,1000,7,1,1505268393,1505269117,0
LTE,311,480,7683,8404256,0,-122.365696,37.62124,7307,6,1,1505174600,1505175186,0
LTE,311,480,7683,9795852,0,-122.376691,37.607599,6571,5,1,1505151422,1505151422,0
LTE,311,480,9729,9744416,0,-122.408775,37.75024,5743,7,1,1505243465,1505316571,0
LTE,311,480,9729,9795852,0,-122.406813,37.741413,4749,4,1,1505150046,1505150622,0
LTE,311,480,7683,7711014,0,-122.397377,37.663995,3943,5,1,1505262855,1505425515,0
LTE,311,480,9728,9814300,0,-122.401832,37.782172,4814,19,1,1505330180,1505423519,0
LTE,311,480,9728,9736196,0,-122.402879,37.784249,1000,6,1,1505316559,1505404091,0
LTE,311,480,9728,86613782,0,-122.403386,37.783596,1000,59,1,1505320470,1505429343,0
LTE,311,480,9728,163457874,0,-122.423589,37.79914,1000,10,1,1505268605,1505924299,0
LTE,311,480,9728,163457876,0,-122.423602,37.799209,1000,7,1,1505268963,1505268963,0
LTE,311,480,9728,9813784,0,-122.403382,37.783651,1000,57,1,1505255746,1505430448,0
LTE,311,480,9728,9972236,0,-122.410998,37.785948,1000,3,1,1505326066,1505365847,0
